Player,Age,Tm,Pos,MP,PTS
Karl-Anthony Towns\townska01,24,MIN,C,1187,926
Gary Trent\trentga02,21,POR,SG,767,294
Allonzo Trier\trieral01,24,NYK,PG,246,120
P.J. Tucker\tuckepj01,34,HOU,PF,1887,398
Rayjon Tucker\tuckera01,22,UTA,SG,74,19
Evan Turner\turneev01,31,ATL,PG,251,62
Myles Turner\turnemy01,23,IND,C,1308,535
Jonas ValanÄçiÅ«nas\valanjo01,27,MEM,C,1327,758
Denzel Valentine\valende01,26,CHI,SF,366,173
Jarred Vanderbilt\vandeja01,20,TOT,SF-PF,46,12
Fred VanVleet\vanvlfr01,25,TOR,PG,1621,809
Gabe Vincent\vincega01,23,MIA,PG,41,12
Noah Vonleh\vonleno01,24,TOT,C-PF,359,123
Nikola VuÄçeviÄ‡\vucevni01,29,ORL,C,1415,834
Dean Wade\wadede01,23,CLE,PF,54,16
Moritz Wagner\wagnemo01,22,WAS,C,527,295
Dion Waiters\waitedi01,28,MIA,SG,42,28
Kemba Walker\walkeke02,29,BOS,PG,1481,1001
Lonnie Walker\walkelo01,21,SAS,SG,634,264
Tyrone Wallace\wallaty01,25,ATL,SG,160,40
Taurean Waller-Prince\princta02,25,BRK,SF,1573,659
Derrick Walton\waltode01,24,LAC,PG,222,50
Brad Wanamaker\wanambr01,30,BOS,PG,999,351
T.J. Warren\warretj01,26,IND,SF,1678,963
PJ Washington\washipj01,21,CHO,PF,1414,549
Yuta Watanabe\watanyu01,25,MEM,SG,49,16
Tremont Waters\watertr01,22,BOS,PG,73,28
Paul Watson\watsopa01,25,TOT,SF-SG,22,1
Quinndary Weatherspoon\weathqu01,23,SAS,SG,4,0
Russell Westbrook\westbru01,31,HOU,PG,1621,1223
Coby White\whiteco01,19,CHI,SG,1337,612
Derrick White\whitede01,25,SAS,SG,1237,528
Hassan Whiteside\whiteha01,30,POR,C,1570,803
Andrew Wiggins\wiggian01,24,TOT,SF-SG,1554,1011
Grant Williams\willigr01,21,BOS,PF,809,197
Johnathan Williams\willijo04,24,WAS,C,135,35
Kenrich Williams\willike04,25,NOP,PF,779,132
Lou Williams\willilo02,33,LAC,SG,1562,1014
Marvin Williams\willima02,33,TOT,PF,828,284
Robert Williams\williro04,22,BOS,C,269,74
Nigel Williams-Goss\willini01,25,UTA,PG,28,4
Zion Williamson\willizi01,19,NOP,PF,274,221
D.J. Wilson\wilsodj01,23,MIL,PF,235,80
Justise Winslow\winslju01,23,MIA,SF,352,124
